epoch,train_loss,val_loss,train_seconds,validation_seconds,epoch_seconds,model
66,0.6549789212274213,,26.88349386677146,0.0,26.883546945638955,F0
67,0.6416631387480607,,26.925215336494148,0.0,26.92526785749942,F0
68,0.6378915664997507,,26.925458163022995,0.0,26.925506494008005,F0
69,0.6328752125408632,,26.914480064995587,0.0,26.91453202813864,F0
70,0.6299548318200078,0.615077555179596,26.913337994366884,1.3444787533953786,28.406511680223048,F0
71,0.6323763800005541,,26.868105477653444,0.0,26.8681593965739,F0
72,0.634930874438996,,26.88518581259996,0.0,26.885242523625493,F0
73,0.6255355726742575,,26.9187271585688,0.0,26.918777445331216,F0
74,0.6233839751980829,,26.963870437815785,0.0,26.963923519477248,F0
75,0.6320451777032081,0.673977792263031,26.950873455032703,1.3307685097679496,28.36028237454593,F0
76,0.6103544843957779,,26.96026489790529,0.0,26.9603241244331,F0
77,0.627547135589816,,26.95165593456477,0.0,26.95170789770782,F0
78,0.6260324572840481,,26.937048877589405,0.0,26.93709692824632,F0
79,0.614123892276845,,26.88450838625431,0.0,26.88455783482641,F0
80,0.616730547965841,0.620181143283844,26.87446563784033,1.342643218114972,28.299062041565776,F0
81,0.6181939307679521,,26.86160460487008,0.0,26.861660478636622,F0
82,0.6134965504314882,,26.85170514043421,0.0,26.851758220233023,F0
83,0.6156121111930685,,26.910282877273858,0.0,26.91033400129527,F0
84,0.6106122064252272,,26.926215330138803,0.0,26.92626449931413,F0
