benchmark_class,status,data_source,N_full,N_query,N_obs,batch_size,read_ms,normalize_ms,index_sampling_ms,materialize_ms,h2d_ms,pre_model_ms,forward_ms,backward_ms,optimizer_ms,step_ms,gpu_peak_allocated_mb,gpu_peak_reserved_mb,selected_gpu_input_mb,host_rss_mb,host_max_rss_mb,queries_per_sec,samples_per_sec,ms_per_1k_queries,gpu_memory_mb_per_1k_queries,iterations,notes
data,ok,synthetic_expanded_memory,250000,4096,512,4,2.3671938106417656,2.1367125834027925,2.286269019047419,0.7477793842554092,10.554589331150055,18.09254412849744,0.0,0.0,0.0,18.170394003391266,0.5703125,22.0,0.5703125,657.4817708333334,657.5859375,901686.5565458923,220.13831946921198,1.109032837121049,0.034809112548828125,3,"real snapshot expanded in memory; read_ms is host clone, not HDF5"
data,ok,synthetic_expanded_memory,250000,4096,1024,4,2.3005157709121704,2.6324071610967317,2.534349448978901,0.9821730976303419,11.705126302937666,20.15457178155581,0.0,0.0,0.0,20.219291870792706,0.640625,22.0,0.640625,657.48828125,657.5859375,810315.2229414679,197.8308649759443,1.2340876385981876,0.03910064697265625,3,"real snapshot expanded in memory; read_ms is host clone, not HDF5"
data,ok,synthetic_expanded_memory,250000,16384,256,4,2.5126508747537932,5.218346913655599,8.164767175912857,0.7581173752744993,10.74847113341093,27.40235347300768,0.0,0.0,0.0,28.118564747273922,2.03515625,22.0,2.03515625,656.9440104166666,657.78515625,2330702.174489673,142.25477139219197,0.4290552482189014,0.031054019927978516,3,"real snapshot expanded in memory; read_ms is host clone, not HDF5"
data,ok,synthetic_expanded_memory,250000,16384,512,4,2.610523564120134,4.430617205798626,8.118578543265661,0.8852304890751839,10.966752034922441,27.011701837182045,0.0,0.0,0.0,27.179044671356678,2.0703125,22.0,2.0703125,658.6106770833334,657.78515625,2411269.4464594913,147.17220742550606,0.4147193095604962,0.03159046173095703,3,"real snapshot expanded in memory; read_ms is host clone, not HDF5"
data,ok,synthetic_expanded_memory,250000,16384,1024,4,3.6643066753943763,11.932719498872757,8.913850411772728,0.9470634783307711,9.87897968540589,35.33691974977653,0.0,0.0,0.0,36.06039471924305,2.140625,22.0,2.140625,657.0416666666666,657.78515625,1817395.525208374,110.92501984914392,0.5502379565314186,0.03266334533691406,3,"real snapshot expanded in memory; read_ms is host clone, not HDF5"
data,ok,synthetic_expanded_memory,250000,65536,256,4,1.3392058511575062,8.598349367578825,16.73368892321984,1.5098067621390026,11.22749721010526,39.408548114200435,0.0,0.0,0.0,41.47672156492869,8.03515625,22.0,8.03515625,667.7473958333334,666.9361979166666,6320268.095192463,96.43963768299047,0.15822113634082294,0.03065168857574463,3,"real snapshot expanded in memory; read_ms is host clone, not HDF5"
data,ok,synthetic_expanded_memory,250000,65536,512,4,1.3955455894271533,8.217382555206617,35.977701346079506,1.1436454951763153,12.193557806313038,58.92783279220263,0.0,0.0,0.0,60.54575555026531,8.0703125,22.0,8.0703125,666.2721354166666,667.96484375,4329684.1804602975,66.06573761688686,0.23096372814279675,0.030785799026489258,3,"real snapshot expanded in memory; read_ms is host clone, not HDF5"
data,ok,synthetic_expanded_memory,250000,65536,1024,4,1.3805525377392769,9.367920147875944,20.6053809573253,1.2207512433330219,11.365971527993679,43.94057641426722,0.0,0.0,0.0,46.33905893812577,8.140625,22.0,8.140625,668.7903645833334,670.46484375,5657085.1028724555,86.32026829334191,0.17676948142290408,0.031054019927978516,3,"real snapshot expanded in memory; read_ms is host clone, not HDF5"
data,ok,synthetic_expanded_memory,1000000,4096,256,4,8.930705798168978,3.7690705309311547,2.292973299821218,0.9317913403113683,11.263814754784107,27.188355724016827,0.0,0.0,0.0,27.26108580827713,0.53515625,22.0,0.53515625,698.328125,719.5755208333334,601003.2071072318,146.72929861016402,1.6638846318528522,0.03266334533691406,3,"real snapshot expanded in memory; read_ms is host clone, not HDF5"
data,ok,synthetic_expanded_memory,1000000,4096,512,4,5.559738104542096,2.1801072483261428,2.2977227345108986,1.2745776524146397,10.692504545052847,22.004650284846626,0.0,0.0,0.0,24.101879447698593,0.5703125,22.0,0.5703125,690.5208333333334,720.796875,679781.0119145897,165.96216111196037,1.4710619780089473,0.034809112548828125,3,"real snapshot expanded in memory; read_ms is host clone, not HDF5"
data,ok,synthetic_expanded_memory,1000000,4096,1024,4,8.42756126075983,2.6461901143193245,2.621420038243135,1.4362394188841183,8.991701217989126,24.123112050195537,0.0,0.0,0.0,24.292316287755966,0.640625,22.0,0.640625,693.984375,720.796875,674451.9462830316,164.66111969800576,1.4826853202976054,0.03910064697265625,3,"real snapshot expanded in memory; read_ms is host clone, not HDF5"
data,ok,synthetic_expanded_memory,1000000,16384,256,4,5.000812311967214,4.84948605298996,7.9740506286422415,1.8195342272520065,10.990405765672525,30.63428898652395,0.0,0.0,0.0,34.57032951215903,2.03515625,22.0,2.03515625,688.2513020833334,720.796875,1895729.688574411,115.70615774990301,0.5275013658471531,0.031054019927978516,3,"real snapshot expanded in memory; read_ms is host clone, not HDF5"
data,ok,synthetic_expanded_memory,1000000,16384,512,4,2.876856985191504,5.188734891513984,8.432868557671705,1.8492403129736583,10.717461816966534,29.065162564317387,0.0,0.0,0.0,35.16967035830021,2.0703125,22.0,2.0703125,675.14453125,720.796875,1863423.7777134352,113.73436143270479,0.5366465813949617,0.03159046173095703,3,"real snapshot expanded in memory; read_ms is host clone, not HDF5"
data,ok,synthetic_expanded_memory,1000000,16384,1024,4,7.688719779253006,12.02053421487411,8.232188411056995,1.9140572597583134,11.088091880083084,40.94359154502551,0.0,0.0,0.0,43.15312703450521,2.140625,22.0,2.140625,688.5065104166666,720.796875,1518684.8440345344,92.69316675015469,0.6584644628067812,0.03266334533691406,3,"real snapshot expanded in memory; read_ms is host clone, not HDF5"
data,ok,synthetic_expanded_memory,1000000,65536,256,4,3.3881027872363725,8.756845879058043,16.60797217239936,1.3069842631618183,11.599058906237284,41.65896400809288,0.0,0.0,0.0,48.045543022453785,8.03515625,22.0,8.03515625,690.0768229166666,727.61328125,5456156.461328549,83.25434053540877,0.18327920159322275,0.03065168857574463,3,"real snapshot expanded in memory; read_ms is host clone, not HDF5"
data,ok,synthetic_expanded_memory,1000000,65536,512,4,4.592931208511193,8.144000234703222,16.767026856541634,1.656011367837588,11.683242705961069,42.84321237355471,0.0,0.0,0.0,47.427391012509666,8.0703125,22.0,8.0703125,696.12890625,729.70703125,5527270.094424036,84.33944846228083,0.18092113881114832,0.030785799026489258,3,"real snapshot expanded in memory; read_ms is host clone, not HDF5"
data,ok,synthetic_expanded_memory,1000000,65536,1024,4,6.46470890690883,15.249583249290785,17.540881410241127,1.7546288048227627,11.689388503630957,52.69919087489447,0.0,0.0,0.0,59.79890810946623,8.140625,22.0,8.140625,689.9973958333334,729.84765625,4383758.972992056,66.89085346972742,0.22811473125254147,0.031054019927978516,3,"real snapshot expanded in memory; read_ms is host clone, not HDF5"
